Gene Name,Annotation,Accession #,Class Name,20160811_bath study 72hpf 15-04-16 samples 41-52_   _01.RCC,20160811_bath study 72hpf 15-04-16 samples 41-52_   _02.RCC,20160811_bath study 72hpf 15-04-16 samples 41-52_   _03.RCC,20160811_bath study 72hpf 15-04-16 samples 41-52_   _04.RCC,20160811_bath study 72hpf 15-04-16 samples 41-52_   _05.RCC,20160811_bath study 72hpf 15-04-16 samples 41-52_   _06.RCC,20160811_bath study 72hpf 15-04-16 samples 41-52_   _07.RCC,20160811_bath study 72hpf 15-04-16 samples 41-52_   _08.RCC,20160811_bath study 72hpf 15-04-16 samples 41-52_   _09.RCC,20160811_bath study 72hpf 15-04-16 samples 41-52_   _10.RCC,20160811_bath study 72hpf 15-04-16 samples 41-52_   _11.RCC,20160811_bath study 72hpf 15-04-16 samples 41-52_   _12.RCC
,,,,72,72,72,72,72,72,72,72,72,72,72,72
Kanamycin Pos,,Sub_Kan.1,Endogenous,189005,201401,185100,184960,222695,167827,201144,179007,194440,198381,163206,210695
alx4b,,NM_001089357.1,Endogenous,64258,50725,46790,61,55,52738,72,25571,43216,55,60277,74451
csf1r,,NM_131672.1,Endogenous,9,3,4,9,1,9,1,12,12,1,8,4
dpf3,,NM_001111169.1,Endogenous,14,8,10,25,1,29,1,26,7,1,6,12
ednrba,,NM_131197.1,Endogenous,31,33,21,45835,1,50497,36386,18,37544,19202,29299,53885
ets1a,,NM_001017558.1,Endogenous,4,23,10,6,1,33,1,8,8,2,17,9
fgfr3_v2,,NM_131606.1,Endogenous,11,23,17,9,1,39,2,4,9,3,20,12
foxd3,,NM_131290.1,Endogenous,10,1009,68831,14,1,33529,1,56202,1818,1,36090,88338
foxg1b,,NM_212914.1,Endogenous,36,36,30,79294,22,35315,91893,60549,63200,32,76,31
foxo1a,,NM_001077257.2,Endogenous,10,18,3719,16,1,710,1,11,70192,12,55111,12
foxo1b,,NM_001082857.1,Endogenous,4,27,17965,18,1,16435,1,315,16,1,14929,1
foxp4,,NM_001199491.1,Endogenous,83,50,37,30,18,87,42,66,64,64,169,76
